[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
[SafeArea] Time: 0, Screen: 1080x1920, SafeArea: (x:0.00, y:0.00, width:1080.00, height:1920.00), anchorMin: (0.00, 0.00), anchorMax: (1.00, 1.00)
